"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Project Management","Send a request to create a project with an empty ""parentProject"" field with different roles","0","0","3","0","0"
"","Project Management","Send a request to create a project with invalid data in the ""parentProject"" field with different roles","0","0","12","0","0"
"","Manage build configurations","Sending a request to copy an existing build configuration with different roles","0","0","3","0","0"
"","Project Management","Create the first project","0","0","3","0","0"
"","","Send a request to create a build configuration with invalid data in the ""id"" field with different roles","0","0","9","0","0"
"","Manage build configurations","Send a request to create a build configuration with an empty ""steps"" field with different roles","0","0","3","0","0"
"","Manage build configurations","Send a request to create a build configuration with a name that is already in use, with different roles","0","0","3","0","0"
"","Project Management","Send request to create project with boolean value ""False"" in ""copyAllAssociatedSettings"" with different roles","0","0","3","0","0"
"","Project Management","Send a request to create a project with invalid data in the ""id"" field with different roles","0","0","9","0","0"
"","Project Management","Submit a request to create a project with an existing ""id"" of another project with different roles","0","0","3","0","0"
"","Manage build configurations","Create a copy of the build configuration with invalid data","0","3","0","0","0"
"","Project Management","Create a copy of an existing project with an empty id","0","0","3","0","0"
"","Project Management","Submit a request to copy an existing project with different roles","0","0","3","0","0"
"","Project and build configuration management","Create a project and building a configuration with subsequent launch for it under different roles","0","0","3","0","0"
"","","Send a request to create a build configuration with an empty ""name"" field with different roles","0","0","3","0","0"
"","Project Management","Send a request to create a project with an empty ""name"" field with different roles","0","0","3","0","0"
"","Critical user flow from project creation to build launch","Create a project, building the configuration and then launching it","0","0","3","0","0"
"","Manage build configurations","Create a copy of the build configuration","3","0","0","0","0"
"","Manage the launch of a build configuration","Create invalid build configuration steps and then running it","0","3","0","0","0"
"","","Send a request to create a build configuration with invalid data in the ""project_id"" field with different roles","0","0","9","0","0"
"","Project Management","Change project data using an invalid id and then changing it correctly","0","0","3","0","0"
"","Project Management","Send a request to create a project with an empty ""id"" field with different roles","0","0","3","0","0"
"","Project Management","Send a request to get information about a remote project with different roles","0","0","3","0","0"
"","Project Management","Send a request to copy a project with an unknown project id with different roles","0","0","3","0","0"
"","Manage the launch of build configurations","Send a request to run the same build configuration multiple times with different roles","0","0","3","0","0"
"","Project Management","Send a request to create a project with an existing ""name"" of another project with different roles","0","0","3","0","0"
"","Project Management","Create a copy of an existing project with a change in id","0","0","3","0","0"
"","Manage build configurations","Sending a request to create a build configuration with an empty ""id"" field with different roles","0","0","3","0","0"
"","Manage build configurations","Send a request to create, delete a build configuration and get information about it with different roles","0","0","3","0","0"
"","Manage the launch of build configurations","Send a request to run a non-existent build configuration with different roles","0","0","3","0","0"
"","Manage build configurations","Submit a request to create a build configuration с id, которое уже используется, с разными ролями","0","0","3","0","0"
"","Manage build configurations","Send a request to create a build configuration without the ""steps"" field with different roles","0","0","3","0","0"
"","","Send a request to copy an existing build config with an unknown source build conf with different roles","0","0","3","0","0"
"","Manage build configurations","Creatie a build configuration with invalid data","0","3","0","0","0"
"","Project Management","Create a project with an empty ""id"" field, with an already used id","0","3","0","0","0"
